Product_ID,Product_Name,Category,Price,Quantity_Sold,Date_Sold,Total_Sales
1055,Product_55,Electronics,113.64,25,2024-02-24,2841.0
1056,Product_56,Electronics,115.56,30,2024-02-25,3466.8
1057,Product_57,Electronics,117.47,27,2024-02-26,3171.69
1058,Product_58,Electronics,119.39,30,2024-02-27,3581.7
1059,Product_59,Grocery,121.31,27,2024-02-28,3275.37
1060,Product_60,Toys,123.23,28,2024-02-29,3450.44
1061,Product_61,Electronics,125.15,24,2024-03-01,3003.6000000000004
1062,Product_62,Electronics,127.07,24,2024-03-02,3049.68
1063,Product_63,Grocery,128.99,39,2024-03-03,5030.610000000001
1064,Product_64,Clothing,130.91,38,2024-03-04,4974.58
1065,Product_65,Toys,132.83,24,2024-03-05,3187.92
1066,Product_66,Clothing,134.75,26,2024-03-06,3503.5
1067,Product_67,Grocery,136.67,30,2024-03-07,4100.099999999999
1068,Product_68,Toys,138.59,28,2024-03-08,3880.52
1069,Product_69,Toys,140.51,28,2024-03-09,3934.2799999999997
1070,Product_70,Clothing,142.42,23,2024-03-10,3275.66
1071,Product_71,Grocery,144.34,37,2024-03-11,5340.58
1072,Product_72,Toys,146.26,37,2024-03-12,5411.62
1073,Product_73,Electronics,148.18,30,2024-03-13,4445.400000000001
1074,Product_74,Clothing,150.1,35,2024-03-14,5253.5
1075,Product_75,Grocery,152.02,32,2024-03-15,4864.64
1076,Product_76,Clothing,153.94,26,2024-03-16,4002.44
1077,Product_77,Toys,155.86,35,2024-03-17,5455.1
1078,Product_78,Clothing,157.78,37,2024-03-18,5837.86
1079,Product_79,Electronics,159.7,26,2024-03-19,4152.2
1080,Product_80,Toys,161.62,38,2024-03-20,6141.56
1081,Product_81,Electronics,163.54,23,2024-03-21,3761.4199999999996
1082,Product_82,Grocery,165.45,29,2024-03-22,4798.049999999999
1083,Product_83,Grocery,167.37,31,2024-03-23,5188.47
1084,Product_84,Grocery,169.29,25,2024-03-24,4232.25
1085,Product_85,Grocery,171.21,31,2024-03-25,5307.51
1086,Product_86,Clothing,173.13,26,2024-03-26,4501.38
1087,Product_87,Toys,175.05,32,2024-03-27,5601.6
1088,Product_88,Clothing,176.97,28,2024-03-28,4955.16
1089,Product_89,Clothing,178.89,38,2024-03-29,6797.82
1090,Product_90,Clothing,180.81,38,2024-03-30,6870.78
1091,Product_91,Toys,182.73,21,2024-03-31,3837.33
1092,Product_92,Clothing,184.65,26,2024-04-01,4800.900000000001
1093,Product_93,Grocery,186.57,33,2024-04-02,6156.8099999999995
1094,Product_94,Electronics,188.48,31,2024-04-03,5842.88
1095,Product_95,Toys,190.4,26,2024-04-04,4950.400000000001
1096,Product_96,Clothing,192.32,22,2024-04-05,4231.04
1097,Product_97,Grocery,194.24,23,2024-04-06,4467.52
1098,Product_98,Grocery,196.16,26,2024-04-07,5100.16
1099,Product_99,Electronics,198.08,26,2024-04-08,5150.08
1100,Product_100,Electronics,200.0,26,2024-04-09,5200.0
1001,Product_1,Electronics,10.0,29,2024-01-01,290.0
1002,Product_2,Clothing,11.92,26,2024-01-02,309.92
1003,Product_3,Electronics,13.84,26,2024-01-03,359.84
1004,Product_4,Grocery,15.76,32,2024-01-04,504.32
1005,Product_5,Electronics,17.68,30,2024-01-05,530.4
1006,Product_6,Grocery,19.6,19,2024-01-06,372.40000000000003
1007,Product_7,Clothing,21.52,24,2024-01-07,516.48
1008,Product_8,Electronics,23.43,24,2024-01-08,562.3199999999999
1009,Product_9,Grocery,25.35,35,2024-01-09,887.25
1010,Product_10,Clothing,27.27,41,2024-01-10,1118.07
1011,Product_11,Electronics,29.19,28,2024-01-11,817.32
1012,Product_12,Grocery,31.11,32,2024-01-12,995.52
1013,Product_13,Grocery,33.03,35,2024-01-13,1156.05
1014,Product_14,Clothing,34.95,32,2024-01-14,1118.4
1015,Product_15,Grocery,36.87,33,2024-01-15,1216.7099999999998
1016,Product_16,Clothing,38.79,37,2024-01-16,1435.23
1017,Product_17,Grocery,40.71,35,2024-01-17,1424.8500000000001
1018,Product_18,Clothing,42.63,20,2024-01-18,852.6
1019,Product_19,Clothing,44.55,32,2024-01-19,1425.6
1020,Product_20,Toys,46.46,24,2024-01-20,1115.04
